"Date","Open","High","Low","Close","Volume"
"06/13/2024","188.39","191.08","181.23","182.47","118,984,100"
"06/12/2024","171.12","180.55","169.8","177.29","90,389,450"
"06/11/2024","173.92","174.75","167.41","170.66","64,761,930"
"06/10/2024","176.06","178.57","173.17","173.79","50,869,680"
"06/07/2024","176.13","179.35","175.58","177.48","56,244,930"
"06/06/2024","174.6","179.73","172.73","177.94","69,887,020"
"06/05/2024","175.35","176.15","172.13","175","57,953,760"
"06/04/2024","174.775","177.755","174","174.77","60,056,340"
"06/03/2024","178.13","182.6389","174.49","176.29","68,568,920"
"05/31/2024","178.5","180.32","173.82","178.08","67,314,600"
"05/30/2024","178.575","182.67","175.38","178.79","77,784,760"
"05/29/2024","174.19","178.15","173.93","176.19","54,782,650"
"05/28/2024","176.4","178.25","173.16","176.75","59,736,620"
"05/24/2024","174.835","180.08","173.73","179.24","65,584,480"
"05/23/2024","181.8","181.9","173.26","173.74","71,975,500"
"05/22/2024","182.85","183.8","178.12","180.11","88,313,480"
"05/21/2024","175.51","186.875","174.71","186.6","115,266,500"
"05/20/2024","177.56","177.754","173.52","174.95","61,727,430"
"05/17/2024","173.55","179.63","172.75","177.46","77,445,850"
"05/16/2024","174.1","175.79","171.43","174.84","59,812,220"
"05/15/2024","179.9","180","173.11","173.99","79,662,990"
"05/14/2024","174.496","179.49","174.07","177.55","86,407,420"
"05/13/2024","170","175.4","169","171.89","67,018,900"
"05/10/2024","173.05","173.0599","167.75","168.47","72,627,180"
"05/09/2024","175.01","175.62","171.37","171.97","65,950,290"
"05/08/2024","171.59","176.06","170.15","174.72","79,969,490"
"05/07/2024","182.4","183.26","177.4","177.81","75,045,850"
"05/06/2024","183.8","187.56","182.2","184.76","84,390,250"
"05/03/2024","182.1","184.78","178.42","181.19","75,491,540"
"05/02/2024","182.86","184.6","176.02","180.01","89,148,040"
"05/01/2024","182","185.86","179.01","179.99","92,829,720"
"04/30/2024","186.98","190.95","182.8401","183.28","127,031,800"
"04/29/2024","188.42","198.87","184.54","194.05","243,869,700"
"04/26/2024","168.85","172.12","166.37","168.29","109,815,700"
"04/25/2024","158.96","170.88","158.36","170.18","126,427,500"
"04/24/2024","162.84","167.97","157.51","162.13","181,178,000"
"04/23/2024","143.33","147.26","141.11","144.68","124,545,100"
"04/22/2024","140.56","144.44","138.8025","142.05","107,097,600"
"04/19/2024","148.97","150.94","146.22","147.05","87,074,500"
"04/18/2024","151.25","152.2","148.7","149.93","96,098,830"
"04/17/2024","157.64","158.33","153.78","155.45","82,439,720"
