"series","o","h","l","c","v"
"20221223T","126.37","128.6173","121.02","123.15","166989700"
"20221227T","117.495","119.67","108.76","109.1","208643400"
"20221228T","110.35","116.27","108.24","112.71","221070500"
"20221229T","120.385","123.57","117.495","121.82","221923300"
"20221230T","119.95","124.48","119.75","123.18","157777300"
"20230103T","118.47","118.8","104.64","108.1","231402800"
"20230104T","109.11","114.59","107.52","113.64","180389000"
"20230105T","110.51","111.75","107.1601","110.34","157986300"
"20230106T","103.0","114.39","101.81","113.06","220911100"
"20230109T","118.96","123.52","117.11","119.77","190284000"
"20230110T","121.07","122.76","114.92","118.85","167642500"
"20230111T","122.09","125.95","120.51","123.22","183810800"
"20230112T","122.56","124.1311","117.0","123.56","169400900"
"20230113T","116.55","122.63","115.6","122.4","180714100"
"20230117T","125.695","131.7","125.02","131.49","186477000"
"20230118T","136.555","136.68","127.01","128.78","195680300"
"20230119T","127.26","129.99","124.3082","127.17","170291900"
"20230120T","128.68","133.51","127.3466","133.42","138858100"
"20230123T","135.87","145.3793","134.27","143.75","203119200"
"20230124T","143.0","146.5","141.1","143.89","158699100"
"20230125T","141.905","146.41","138.07","144.43","192734300"
"20230126T","159.965","161.42","154.76","160.27","234815100"
"20230127T","162.43","180.68","161.17","177.9","306590600"
"20230130T","178.05","179.77","166.5","166.66","230878800"
"20230131T","164.57","174.3","162.78","173.22","196813500"
"20230201T","173.89","183.805","169.93","181.41","213806300"
"20230202T","187.325","196.7501","182.61","188.27","217448300"
"20230203T","183.95","199.0","183.69","189.98","232662000"
"20230206T","193.01","198.17","189.92","194.76","186188100"
"20230207T","196.43","197.5","189.55","196.81","186010300"
"20230208T","196.1","203.0","194.31","201.29","180673600"
"20230209T","207.775","214.0","204.77","207.32","215431400"
"20230210T","202.225","206.2","192.89","196.89","204754100"
"20230213T","194.415","196.3","187.61","194.64","172475500"
"20230214T","191.94","209.82","189.44","209.25","216455700"
"20230215T","211.755","214.66","206.11","214.24","182108600"
"20230216T","210.78","217.65","201.84","202.04","229586500"
"20230217T","199.985","208.44","197.5","208.31","213738500"
"20230221T","204.99","209.71","197.22","197.37","180018600"
"20230222T","197.93","201.99","191.78","200.86","191828500"
"20230223T","203.91","205.14","196.33","202.07","146360000"
"20230224T","196.325","197.6695","192.8","196.88","142228100"
"20230227T","202.03","209.42","201.26","207.63","161028300"
"20230228T","210.59","211.23","203.75","205.71","153144900"
"20230301T","206.21","207.2","198.52","202.77","156852800"
"20230302T","186.74","193.7499","186.01","190.9","181979200"
"20230303T","194.795","200.48","192.88","197.79","154193300"
"20230306T","198.54","198.6","192.3","193.81","128100100"
"20230307T","191.38","194.2","186.1","187.71","148125800"
"20230308T","185.04","186.5","180.0","182.0","151897800"
"20230309T","180.25","185.18","172.5124","172.92","170023800"
"20230310T","175.13","178.29","168.44","173.44","191488900"
"20230313T","167.455","177.35","163.91","174.48","167790300"
"20230314T","177.31","183.8","177.1401","183.26","143717900"
"20230315T","180.8","182.34","176.03","180.45","145995600"
"20230316T","180.365","185.81","178.84","184.13","121374500"
"20230317T","184.515","186.2199","177.33","180.13","133197100"
"20230320T","178.08","186.44","176.35","183.25","129684400"
"20230321T","188.28","198.0","188.04","197.58","153391400"
"20230322T","199.3","200.66","190.95","191.15","150376400"
"20230323T","195.26","199.31","188.65","192.22","144193900"
"20230324T","191.65","192.36","187.15","190.41","116531600"
"20230327T","194.415","197.39","189.94","191.81","120851600"
"20230328T","192.0","192.35","185.43","189.19","98654640"
"20230329T","193.13","195.29","189.44","193.88","123660000"
"20230330T","195.58","197.33","194.42","195.28","110252200"
"20230331T","197.53","207.79","197.2","207.46","170222100"
"20230403T","199.91","202.6897","192.2","194.77","169545900"
"20230404T","197.32","198.7446","190.32","192.58","126463800"
"20230405T","190.515","190.68","183.76","185.52","133882500"
"20230406T","183.08","186.39","179.74","185.06","123857900"
"20230410T","179.94","185.1","176.11","184.51","142154600"
"20230411T","186.69","189.19","185.6475","186.79","115770900"
"20230412T","190.74","191.5846","180.31","180.54","150256300"
"20230413T","182.955","186.5","180.94","185.9","112933000"
"20230414T","183.95","186.28","182.01","185.0","96438660"
"20230417T","186.32","189.69","182.69","187.04","116662200"
"20230418T","187.15","187.69","183.5775","184.31","92067020"
"20230419T","179.1","183.5","177.65","180.59","125732700"
"20230420T","166.165","169.7","160.56","162.99","210970800"
"20230421T","164.8","166.0","161.3208","165.08","123539000"
"20230424T","164.65","165.65","158.61","162.55","140006600"
"20230425T","159.82","163.47","158.75","160.67","121999300"
"20230426T","160.29","160.67","153.14","153.75","153364100"
"20230427T","152.64","160.48","152.37","160.19","127015200"
"20230428T","160.9","165.0","157.32","164.31","122515800"
"20230501T","163.17","163.28","158.83","161.83","109015000"
"20230502T","161.88","165.49","158.93","160.31","128259700"
"20230503T","160.01","165.0","159.91","160.61","119728000"
"20230504T","162.71","162.95","159.65","161.2","95108490"
"20230505T","163.97","170.7899","163.51","170.06","107607300"
"20230508T","173.72","173.8","169.19","171.79","112249400"
"20230509T","168.95","169.82","166.56","169.15","88965040"
"20230510T","172.55","174.43","166.68","168.54","119840700"
"20230511T","168.7","173.57","166.79","172.08","103889900"
"20230512T","176.07","177.38","167.23","167.98","157849600"
"20230515T","167.655","169.76","164.5499","166.35","105592500"
"20230516T","165.65","169.5184","164.35","166.52","98288790"
"20230517T","168.41","174.5","167.185","173.86","125473600"
"20230518T","174.22","177.06","172.45","176.89","109520300"
"20230519T","177.17","181.95","176.31","180.14","136196700"
"20230522T","180.7","189.32","180.11","188.87","132001400"
"20230523T","186.2","192.96","185.26","185.77","156952100"
"20230524T","182.23","184.22","178.22","182.9","137605100"
"20230525T","186.54","186.78","180.58","184.47","96870720"
"20230526T","184.62","198.6","184.53","193.17","162061500"
"20230530T","200.1","204.48","197.53","201.16","128818700"
"20230531T","199.78","203.95","195.12","203.93","150711700"
"20230601T","202.59","209.8","199.37","207.52","148029900"
"20230602T","210.15","217.25","209.752","213.97","164398400"
"20230605T","217.8","221.29","214.52","217.61","151143100"
"20230606T","216.14","221.91","212.53","221.31","146911600"
"20230607T","228.0","230.8296","223.2","224.57","185710800"
"20230608T","224.22","235.23","223.01","234.86","164489700"
