"series","o","h","l","c","v"
"20140409T","14.4507","14.5633","14.0593","14.462","77098176"
"20140410T","14.4547","14.5","13.586","13.6127","107817186"
"20140411T","13.374","13.8","13.24","13.5853","135983692"
"20140414T","13.84","13.896","12.9607","13.206","115276787"
"20140415T","13.2727","13.286","12.288","12.9273","204801198"
"20140416T","13.1333","13.3327","12.7213","13.274","107868861"
"20140417T","13.3073","13.486","12.9387","13.208","88863616"
"20140421T","13.1387","13.7467","12.9333","13.6253","78808206"
"20140422T","13.7573","14.622","13.6673","14.576","146920232"
"20140423T","14.422","14.4493","13.8","13.866","109026530"
"20140424T","14.054","14.1867","13.5467","13.8573","82375159"
"20140425T","13.4667","13.78","13.1767","13.3233","104721848"
"20140428T","13.3333","13.586","12.7","13.234","105504802"
"20140429T","13.214","13.8099","13.0353","13.7947","86658452"
"20140430T","13.5733","13.8773","13.4187","13.8593","66482412"
"20140501T","13.8053","14.268","13.7127","13.8487","81526999"
"20140502T","13.9067","14.0907","13.768","14.0607","61231619"
"20140505T","13.9653","14.5127","13.9013","14.4407","77120601"
"20140506T","14.44","14.5773","13.79","13.8187","84300903"
"20140507T","13.976","14.0133","13.15","13.4233","146853407"
"20140508T","12.1333","12.96","11.8667","11.906","300286350"
"20140509T","11.9907","12.2267","11.8147","12.1507","127185011"
"20140512T","12.258","12.4793","11.992","12.3113","104895278"
"20140513T","12.2507","12.756","12.2","12.6773","106273132"
"20140514T","12.5967","12.8987","12.4733","12.708","81097234"
"20140515T","12.6653","12.844","12.3533","12.5727","90512580"
"20140516T","12.5967","12.8027","12.5147","12.7707","67256861"
"20140519T","12.7147","13.126","12.6667","13.0727","68418386"
"20140520T","13.1293","13.2887","12.8713","13.02","83149338"
"20140521T","13.0787","13.3247","12.986","13.2967","79199345"
"20140522T","13.3567","13.792","13.304","13.6587","93168328"
"20140523T","13.6353","13.8507","13.5","13.82","60095595"
"20140527T","13.9013","14.258","13.8467","14.104","80115425"
"20140528T","14.0013","14.1847","13.684","14.016","82400179"
"20140529T","14.038","14.166","13.848","14.016","55335842"
"20140530T","14.02","14.32","13.8013","13.8513","83629458"
"20140602T","13.822","13.9567","13.4447","13.6467","69784885"
"20140603T","13.566","13.8667","13.506","13.6627","57765436"
"20140604T","13.6233","13.7507","13.3597","13.5993","51394054"
"20140605T","13.6313","13.9467","13.6033","13.7933","60754440"
"20140606T","13.9833","14.054","13.812","13.8781","46086277"
"20140609T","13.8633","13.9993","13.6133","13.6873","41958639"
"20140610T","13.6287","13.798","13.4367","13.4867","52688629"
"20140611T","13.4333","13.6667","13.2834","13.6313","59592495"
"20140612T","13.6733","13.992","13.514","13.568","89862990"
"20140613T","13.652","13.786","13.4389","13.7613","53078673"
"20140616T","13.784","15.0327","13.7507","14.974","197691351"
"20140617T","14.9407","15.7027","14.8567","15.4447","198675051"
"20140618T","15.4333","15.4473","15.0747","15.1413","104035868"
"20140619T","15.2587","15.6873","15.1333","15.186","131811114"
"20140620T","15.2347","15.4193","15.08","15.306","72507429"
"20140623T","15.3007","15.9327","15.2147","15.8147","116802542"
"20140624T","15.9313","16.1253","15.4419","15.5","121094054"
"20140625T","15.5367","15.8367","15.3493","15.7927","86964662"
"20140626T","15.8113","16.0267","15.6141","15.7067","76737907"
"20140627T","15.646","16.0","15.6333","15.9373","84457128"
"20140630T","15.97","16.2993","15.9333","16.004","72411399"
"20140701T","16.164","16.2293","15.9133","15.9813","65033547"
"20140702T","16.044","16.1553","15.138","15.295","120350340"
"20140703T","15.4193","15.4599","14.9333","15.2833","77500701"
"20140707T","15.1667","15.3187","14.6933","14.844","88350421"
"20140708T","14.5767","14.7307","14.2847","14.6047","117538081"
"20140709T","14.7513","14.948","14.614","14.8707","61637969"
"20140710T","14.4787","14.8147","14.4027","14.6307","72902694"
"20140711T","14.7073","14.7733","14.5067","14.542","49491275"
"20140714T","14.666","15.2527","14.3634","15.1133","107969721"
"20140715T","15.1153","15.1767","14.54","14.6387","85719122"
"20140716T","14.788","14.9867","14.4547","14.4773","60625005"
"20140717T","14.4107","14.7033","14.24","14.36","69712720"
"20140718T","14.3967","14.7473","14.3953","14.668","63771433"
"20140721T","14.4833","14.8807","14.448","14.7027","57312766"
"20140722T","14.8127","14.8867","14.6074","14.6387","40904530"
"20140723T","14.6673","14.9833","14.6287","14.8327","46145812"
"20140724T","14.8833","15.0067","14.72","14.9027","46682497"
"20140725T","14.848","15.1313","14.7833","14.9047","46296157"
"20140728T","14.95","15.4667","14.7601","14.988","97501166"
"20140729T","15.1073","15.22","14.9907","15.0007","50696825"
"20140730T","14.7947","15.3067","14.736","15.2613","73707698"
"20140731T","15.284","15.4267","14.7667","14.8867","113683173"
"20140801T","15.0727","15.8333","15.0667","15.5513","178352311"
"20140804T","15.6253","16.0333","15.5513","15.9013","89371230"
"20140805T","15.8313","16.1993","15.7127","15.8993","80618045"
"20140806T","15.9267","16.7613","15.9053","16.5953","138226596"
"20140807T","16.6747","17.1125","16.608","16.826","111697429"
"20140808T","16.744","16.784","16.4333","16.542","76317877"
"20140811T","17.032","17.5827","17.0","17.288","120932610"
"20140812T","17.2053","17.3533","16.972","17.3307","95630157"
"20140813T","17.4673","17.7093","17.3073","17.354","103449158"
"20140814T","17.4993","17.5333","17.1","17.4253","61751399"
"20140815T","17.432","17.4727","17.2333","17.4673","57832021"
"20140818T","17.55","17.8173","17.3167","17.3293","87462931"
"20140819T","17.258","17.2887","16.7747","17.1173","79991150"
"20140820T","16.978","17.2493","16.8667","17.0473","45192817"
"20140821T","17.1013","17.2533","16.884","16.956","43660043"
"20140822T","16.9693","17.13","16.8407","17.1187","42495894"
"20140825T","17.2127","17.5787","17.2127","17.5033","64564048"
"20140826T","17.6653","17.7","17.444","17.4493","57188086"
"20140827T","17.5667","17.616","17.3527","17.55","44757428"
"20140828T","17.4593","17.632","17.4427","17.5907","42654699"
"20140829T","17.9133","18.1333","17.834","17.98","96542592"
"20140902T","18.3667","18.9927","18.2867","18.9413","146735012"
"20140903T","19.178","19.2","18.6733","18.746","101496249"
"20140904T","18.934","19.428","18.6933","19.0693","123992533"
"20140905T","18.8367","18.86","18.1673","18.4927","167457216"
"20140908T","18.508","18.992","18.5015","18.8073","82427359"
"20140909T","18.866","19.0327","18.4667","18.5653","68341811"
"20140910T","18.6333","18.7607","18.244","18.74","56648867"
"20140911T","18.6973","18.986","18.5753","18.6873","56424227"
"20140912T","18.7","18.826","18.4667","18.6133","49849475"
"20140915T","18.2913","18.2933","16.6087","16.924","246507477"
"20140916T","17.01","17.4973","16.828","17.3827","124461748"
"20140917T","17.494","17.6467","17.3","17.4253","77594871"
"20140918T","17.5573","17.7067","17.488","17.588","55342127"
"20140919T","17.1993","17.4287","17.018","17.288","102014574"
"20140922T","17.0","17.068","16.314","16.6687","123137728"
"20140923T","16.348","16.92","16.3333","16.694","84848463"
"20140924T","16.7413","16.856","16.4693","16.8093","56175047"
"20140925T","16.8347","16.9973","16.4067","16.4633","72492759"
"20140926T","16.55","16.6487","16.4047","16.44","56923652"
"20140929T","16.2667","16.576","16.092","16.3507","72777984"
"20140930T","16.4613","16.51","16.0083","16.1787","63541408"
"20141001T","16.1467","16.1773","15.71","16.016","89108445"
"20141002T","16.68","16.8527","16.3573","16.7613","134824433"
"20141003T","16.8707","17.1","16.7355","17.014","81053944"
"20141006T","17.2753","17.4993","17.1867","17.3747","115592837"
"20141007T","17.2353","17.4307","17.0487","17.3047","67178336"
"20141008T","17.34","17.5253","16.8427","17.2853","75703057"
"20141009T","17.4833","17.7027","16.96","17.134","110086400"
"20141010T","16.3093","16.3927","15.68","15.794","193288703"
"20141013T","15.9047","15.9309","14.7333","14.9727","168770916"
"20141014T","15.2167","15.498","14.8667","15.1373","106492327"
"20141015T","14.6667","15.3993","14.488","15.3133","136774897"
"20141016T","14.648","15.328","14.6067","15.09","80907410"
"20141017T","15.5587","15.6513","15.1033","15.1653","158219471"
"20141020T","15.1147","15.4933","15.034","15.3647","52346749"
"20141021T","15.618","15.6927","15.3867","15.6893","61598909"
"20141022T","15.546","15.826","15.3707","15.4067","61743614"
"20141023T","15.6437","15.752","15.4667","15.686","52294549"
"20141024T","15.7513","15.8533","15.4133","15.6827","51882049"
"20141027T","15.6167","15.6407","14.6873","14.778","142994749"
"20141028T","15.3067","16.3067","15.2167","16.1847","156658422"
"20141029T","16.0753","16.1","15.7093","15.8733","74415158"
"20141030T","15.876","16.0333","15.6707","15.9107","48388191"
"20141031T","16.1673","16.208","15.9167","16.1133","56477372"
"20141103T","16.2","16.504","16.088","16.1727","63048088"
"20141104T","16.0327","16.1567","15.7687","15.9287","55104452"
"20141105T","16.0667","16.0907","15.3687","15.398","127461206"
"20141106T","15.6327","16.446","15.2333","16.0813","230048135"
"20141107T","16.146","16.1893","15.8133","16.0133","77323356"
"20141110T","15.9407","16.192","15.7867","16.1287","68457176"
"20141111T","16.17","16.788","16.1333","16.7387","119203410"
"20141112T","16.648","16.8227","16.372","16.6067","87924541"
"20141113T","16.708","17.05","16.6833","16.78","93454273"
"20141114T","16.6667","17.2567","16.5667","17.2453","91400729"
"20141117T","17.166","17.2667","16.8013","16.932","60260310"
"20141118T","17.0573","17.3327","17.034","17.18","67011371"
"20141119T","16.7073","16.792","16.3733","16.516","118694281"
"20141120T","16.53","16.7287","16.4","16.5807","53752413"
"20141121T","16.814","16.852","16.1447","16.1853","111940024"
"20141124T","16.3467","16.5067","16.0427","16.448","71702994"
"20141125T","16.49","16.648","16.406","16.5393","47320626"
"20141126T","16.556","16.6","16.44","16.5627","29712465"
"20141128T","16.3567","16.446","16.168","16.3013","31795304"
"20141201T","16.0773","16.1647","15.2673","15.4427","129056920"
"20141202T","15.638","15.6587","15.2","15.4287","88073341"
"20141203T","15.0833","15.3147","15.0333","15.2867","79495085"
"20141204T","15.24","15.3933","15.1873","15.2187","57941986"
"20141205T","15.2447","15.2926","14.8173","14.914","90920805"
"20141208T","14.7693","14.9907","14.156","14.2907","138260571"
"20141209T","13.956","14.5153","13.618","14.4593","141405904"
"20141210T","14.2753","14.4513","13.8467","13.9893","109622540"
"20141211T","14.0353","14.362","13.882","13.9253","100266835"
"20141212T","13.6547","14.112","13.6333","13.8","107507556"
"20141215T","13.9527","13.9867","13.5113","13.6027","77934666"
"20141216T","13.3927","13.5787","13.0247","13.1873","126242622"
"20141217T","12.8707","13.7767","12.8433","13.7213","110445485"
"20141218T","14.1587","14.5627","14.12","14.5507","111976774"
"20141219T","14.6793","14.6933","14.3","14.6193","103530863"
"20141222T","14.6667","14.9373","14.5507","14.84","72038169"
"20141223T","14.9207","14.9543","14.635","14.7313","67643141"
"20141224T","14.6513","14.8333","14.6167","14.8173","20002760"
"20141226T","14.7673","15.2333","14.7667","15.188","49866530"
"20141229T","15.1267","15.194","14.9347","15.0473","42044709"
"20141230T","14.9327","15.0436","14.76","14.8153","43474058"
"20141231T","14.8727","15.0453","14.8167","14.8273","35894187"
"20150102T","14.858","14.8833","14.2173","14.6207","71298549"
"20150105T","14.3033","14.4333","13.8108","14.006","80332235"
"20150106T","14.004","14.28","13.614","14.0853","93864718"
"20150107T","14.2233","14.3187","13.9853","14.0633","44479928"
"20150108T","14.1873","14.2533","14.0007","14.041","51523489"
"20150109T","13.928","13.9987","13.664","13.7773","68869616"
"20150112T","13.5367","13.6313","13.2833","13.4807","89184060"
"20150113T","13.5547","13.8407","13.3941","13.6167","63715528"
"20150114T","12.3887","13.0133","12.3333","12.846","172745014"
"20150115T","12.966","13.05","12.6667","12.7913","78071616"
"20150116T","12.7133","12.966","12.6433","12.8713","53862798"
"20150120T","12.9247","12.9413","12.4693","12.7953","67360181"
"20150121T","12.6367","13.2453","12.634","13.1047","62161784"
"20150122T","13.1333","13.5493","13.0133","13.4413","61556264"
"20150123T","13.3527","13.5667","13.222","13.4193","51615754"
"20150126T","13.4553","13.908","13.4033","13.77","48466791"
"20150127T","13.628","13.8687","13.5533","13.732","41668869"
"20150128T","13.7407","13.7579","13.228","13.2913","47092191"
"20150129T","13.4047","13.732","13.1","13.68","53138628"
"20150130T","13.5973","13.8313","13.5333","13.5733","45018997"
"20150202T","13.598","14.13","13.5533","14.0627","62157719"
"20150203T","14.2147","14.6913","14.0847","14.5573","72237474"
"20150204T","14.5527","14.7653","14.4533","14.57","49566230"
"20150205T","14.6587","15.032","14.6425","14.7327","52774714"
"20150206T","14.8","14.8933","14.4333","14.4907","48537816"
"20150209T","14.3587","14.5287","14.1327","14.4987","52046614"
"20150210T","14.5033","14.7","14.3333","14.4193","80232890"
"20150211T","14.1473","14.316","13.8187","14.1867","135796177"
"20150212T","12.9047","13.5392","12.8853","13.5253","234402333"
"20150213T","13.5267","13.7327","13.394","13.5847","92223059"
"20150217T","13.7133","13.7133","13.4333","13.6233","59468295"
"20150218T","13.6113","13.7447","13.5067","13.6307","40663450"
"20150219T","13.6667","14.1627","13.5833","14.1137","77058006"
"20150220T","14.052","14.5067","13.9873","14.474","89675595"
"20150223T","14.3773","14.5467","13.7553","13.8223","127306901"
"20150224T","13.8193","13.8193","13.4467","13.6073","98809421"
"20150225T","13.6627","13.8093","13.5053","13.584","58612546"
"20150226T","13.6","14.0727","13.4813","13.8127","97020251"
"20150227T","13.7933","13.9033","13.52","13.556","58070926"
"20150302T","13.5133","13.556","13.055","13.155","118655971"
"20150303T","13.1207","13.3496","13.0213","13.304","66461967"
"20150304T","13.2833","13.5013","13.1473","13.4957","63228793"
"20150305T","13.5233","13.746","13.3433","13.3753","73051928"
"20150306T","13.2807","13.3833","12.8101","12.9253","100581715"
"20150309T","12.9593","12.966","12.55","12.7253","100987615"
"20150310T","12.564","12.9","12.5067","12.688","83085573"
"20150311T","12.7433","13.0787","12.734","12.916","74526053"
"20150312T","12.9167","12.9633","12.65","12.738","62096504"
"20150313T","12.5967","12.7833","12.488","12.5787","81319354"
"20150316T","12.8","13.0607","12.6533","13.0467","84255378"
"20150317T","13.0287","13.2473","12.9293","12.982","73353938"
"20150318T","12.9973","13.392","12.874","13.3807","71953059"
"20150319T","13.4667","13.6393","12.9687","13.0433","127032626"
"20150320T","13.1633","13.266","13.0414","13.2053","63751108"
"20150323T","13.2333","13.3667","13.1647","13.3087","39337360"
"20150324T","13.4387","13.586","13.3167","13.448","54612963"
"20150325T","13.218","13.2393","12.8467","12.9533","85823687"
"20150326T","12.928","12.986","12.6467","12.6937","61802729"
"20150327T","12.6047","12.6193","12.0933","12.3333","128948381"
"20150330T","12.39","12.8167","12.12","12.7047","150934575"
"20150331T","12.902","12.9173","12.5607","12.5847","75269212"
"20150401T","12.58","12.82","12.4033","12.506","56872157"
"20150402T","12.682","12.882","12.6667","12.7333","75071092"
"20150406T","13.2","13.85","13.1667","13.54","186341457"
"20150407T","13.5007","13.6707","13.4093","13.55","65104392"
"20150408T","13.88","14.06","13.7247","13.8447","94195648"
"20150409T","13.8953","14.0247","13.7413","14.006","56697767"
"20150410T","13.99","14.11","13.9333","14.06","60312720"
"20150413T","14.029","14.2","13.9367","13.9853","56358272"
"20150414T","13.9047","13.966","13.7","13.8307","45286282"
"20150415T","13.8307","13.9727","13.7733","13.8553","29157015"
"20150416T","13.8467","13.9447","13.7527","13.78","24855258"
"20150417T","13.666","13.792","13.5667","13.786","36983247"
"20150420T","13.7853","13.8567","13.59","13.6847","38383676"
"20150421T","13.72","14.05","13.6207","13.9607","51242629"
"20150422T","14.1667","14.792","14.1127","14.6293","117832636"
"20150423T","14.5513","14.7653","14.4767","14.5733","66125727"
"20150424T","14.7","14.72","14.534","14.5617","36395322"
"20150427T","14.8373","15.9167","14.8","15.4367","174886413"
"20150428T","15.65","15.7","15.202","15.3653","91202624"
"20150429T","15.3367","15.6647","15.1753","15.4967","58969276"
"20150430T","15.3593","15.526","15.0113","15.07","58383421"
"20150501T","15.3293","15.4513","14.6937","15.0687","79153820"
"20150504T","15.212","15.6487","15.1407","15.3673","66408852"
"20150505T","15.8507","15.9667","15.2753","15.53","86740922"
"20150506T","15.6067","15.6313","15.2133","15.362","76256602"
"20150507T","14.7333","15.832","14.6833","15.7867","141598459"
"20150508T","15.7327","15.894","15.58","15.774","69981640"
"20150511T","15.7527","16.192","15.6873","15.966","84956958"
"20150512T","16.0073","16.4233","15.8793","16.316","95186907"
"20150513T","16.5073","16.5533","16.15","16.212","81490294"
"20150514T","16.3213","16.326","16.0833","16.2733","42706224"
"20150515T","16.262","16.6267","16.1667","16.5893","67790021"
"20150518T","16.4667","16.66","16.4","16.5833","50248940"
"20150519T","16.562","16.7333","16.41","16.476","55022957"
"20150520T","16.4753","16.516","16.0915","16.29","56242157"
"20150521T","16.202","16.4413","16.1572","16.3747","29498490"
"20150522T","16.3587","16.5733","16.334","16.5153","33289618"
"20150526T","16.512","16.8","16.4333","16.497","52364914"
"20150527T","16.5673","16.6333","16.37","16.4953","51059794"
"20150528T","16.4687","16.7867","16.3367","16.7633","54690918"
"20150529T","16.7333","16.8579","16.6287","16.72","56776652"
"20150601T","16.7607","16.7733","16.498","16.63","37533551"
"20150602T","16.5947","16.6267","16.42","16.5567","31941554"
"20150603T","16.5467","16.7147","16.4673","16.5993","26671517"
"20150604T","16.5","16.62","16.3807","16.3947","36383802"
"20150605T","16.4","16.6467","16.3787","16.6093","45297532"
"20150608T","16.7233","17.25","16.6873","17.086","75104122"
"20150609T","17.0267","17.1827","16.9427","17.0667","38940866"
"20150610T","16.7933","16.9333","16.5667","16.7133","51789439"
"20150611T","16.884","16.958","16.6953","16.7607","30614580"
"20150612T","16.6807","16.8973","16.6807","16.7127","21276844"
"20150615T","16.6467","16.752","16.4007","16.692","32743964"
"20150616T","16.6753","16.896","16.6063","16.8747","29713755"
"20150617T","16.8113","17.624","16.8013","17.3607","82508359"
"20150618T","17.4667","17.564","17.3347","17.4593","41721594"
"20150619T","17.4933","17.5867","17.34","17.5007","36883482"
"20150622T","17.4767","17.6267","17.046","17.3193","68386046"
"20150623T","17.3547","17.8667","17.238","17.8447","57969001"
"20150624T","17.7987","17.8233","17.5813","17.678","36172362"
"20150625T","17.7633","18.094","17.6833","17.9193","42674874"
"20150626T","17.926","17.9407","17.7333","17.806","57444871"
"20150629T","17.4633","17.73","17.38","17.468","52071754"
"20150630T","17.6533","18.0613","17.6","17.884","46266502"
"20150701T","18.074","18.1747","17.8567","17.9433","31500269"
"20150702T","18.6797","18.83","18.2207","18.668","107333721"
"20150706T","18.592","18.7793","18.42","18.648","61638854"
"20150707T","18.3333","18.3467","17.3847","17.8587","91445729"
"20150708T","17.288","17.3867","16.954","16.9973","93189103"
"20150709T","17.272","17.53","17.1193","17.1947","49946435"
"20150710T","17.4813","17.5333","17.188","17.2767","39078205"
"20150713T","17.4833","17.5033","17.07","17.4773","44270933"
"20150714T","17.4733","17.7327","17.3673","17.71","28583521"
"20150715T","17.7827","17.8327","17.472","17.5427","30102885"
"20150716T","17.6147","17.8133","17.544","17.7787","23973783"
"20150717T","18.1667","18.3693","17.8833","18.3107","74950298"
"20150720T","18.3333","19.11","18.1693","18.8173","74546273"
"20150721T","18.0033","18.2333","17.77","17.7847","91374434"
"20150722T","17.418","17.9627","17.3907","17.858","46459867"
"20150723T","17.9767","17.9933","17.6847","17.8133","33337198"
"20150724T","17.8253","18.0727","17.5947","17.694","42517794"
"20150727T","17.4953","17.6288","16.7193","16.8673","70333075"
"20150728T","17.05","17.6933","16.7892","17.6547","58189921"
"20150729T","17.618","17.8593","17.4667","17.588","41743269"
"20150730T","17.5127","17.796","17.474","17.786","30459060"
"20150731T","17.84","17.9573","17.6749","17.7433","33270043"
"20150803T","17.7527","17.7807","17.138","17.3327","38207441"
"20150804T","17.334","17.7813","17.2227","17.752","35042262"
"20150805T","17.572","18.0667","17.36","18.0087","89538630"
"20150806T","16.636","17.0","15.7413","16.4087","219267190"
"20150807T","16.2387","16.2487","15.8927","16.1673","76043992"
"20150810T","15.8767","16.198","15.7367","16.076","62689574"
"20150811T","15.81","15.9533","15.6293","15.8247","63913348"
"20150812T","15.6667","15.9847","15.516","15.878","55952042"
"20150813T","15.9907","16.432","15.9413","16.1673","70249915"
"20150814T","16.4827","16.5287","16.118","16.21","65410362"
"20150817T","17.0373","17.106","16.7007","16.9993","107525886"
"20150818T","17.0253","17.3967","16.904","17.3813","62790734"
"20150819T","17.3553","17.3767","17.0013","17.0167","53984028"
"20150820T","16.804","16.9707","16.1267","16.1453","73382513"
"20150821T","15.7333","16.2533","15.3673","15.3847","98676476"
"20150824T","13.5193","15.4267","13.0","14.5913","143437188"
"20150825T","15.368","15.3933","14.608","14.6687","64705153"
"20150826T","15.1953","15.2","14.3673","14.9893","74269463"
"20150827T","15.4","16.3167","15.3873","16.1993","114686538"
"20150828T","16.124","16.7633","16.1047","16.5653","82609999"
"20150831T","16.3747","16.9967","16.3673","16.604","70325560"
"20150901T","16.0227","16.4","15.798","15.9087","81658474"
"20150902T","16.3533","16.5253","15.9853","16.5127","68862821"
"20150903T","16.804","16.8053","16.3333","16.3713","62772089"
"20150904T","16.0593","16.2727","15.88","16.1287","55311812"
"20150908T","16.3367","16.6107","16.27","16.5447","46948042"
"20150909T","16.8033","16.95","16.5535","16.594","50774690"
"20150910T","16.482","16.7149","16.3553","16.5653","40603090"
"20150911T","16.5093","16.6827","16.3153","16.6827","35202012"
"20150914T","16.74","16.95","16.6447","16.8793","43284128"
"20150915T","16.85","16.9733","16.6333","16.9047","43974083"
"20150916T","16.8693","17.5253","16.8587","17.4833","66085557"
"20150917T","17.5973","17.7","17.3793","17.4713","53628288"
"20150918T","17.1973","17.588","17.1667","17.3747","56409632"
"20150921T","17.5987","18.1047","17.0533","17.6133","91719179"
"20150922T","17.2687","17.51","17.058","17.396","54909618"
"20150923T","17.4633","17.472","17.1723","17.404","38957531"
"20150924T","17.302","17.5633","17.0807","17.5413","51639994"
"20150925T","17.774","17.794","17.0767","17.1273","56570897"
"20150928T","17.1567","17.3193","16.4407","16.562","73396658"
"20150929T","16.6973","16.982","16.364","16.4433","55439552"
"20150930T","16.8","16.8267","16.156","16.56","73886228"
"20151001T","16.5007","16.5667","15.8087","15.992","68523881"
"20151002T","15.7067","16.5133","15.662","16.5047","66114192"
"20151005T","16.5893","16.656","16.2753","16.41","55267322"
"20151006T","16.0","16.202","15.7053","16.0973","78520146"
"20151007T","15.7753","15.8467","15.2747","15.464","102066444"
"20151008T","15.3387","15.3813","14.754","15.1147","91889864"
"20151009T","14.7287","14.958","14.5573","14.7127","92306264"
"20151012T","14.866","14.8667","14.3513","14.372","57242536"
"20151013T","14.2187","14.8348","14.0753","14.6167","77522391"
"20151014T","14.7113","14.73","14.362","14.4587","46416517"
"20151015T","14.4287","14.782","14.2467","14.754","42538779"
"20151016T","14.8693","15.3654","14.858","15.134","64913578"
"20151019T","15.1","15.41","14.996","15.2067","37602521"
"20151020T","15.1813","15.24","13.4667","14.202","223155188"
"20151021T","14.1327","14.3207","13.92","14.006","62669309"
"20151022T","14.104","14.3833","13.96","14.1147","42281994"
"20151023T","14.3333","14.3567","13.846","13.9393","63396133"
"20151026T","14.092","14.392","14.0","14.3507","50823380"
"20151027T","14.3227","14.4733","13.834","14.0233","52692454"
"20151028T","14.0873","14.23","13.8867","14.1973","40903180"
"20151029T","14.1167","14.2499","14.0427","14.1087","26921132"
"20151030T","14.0267","14.1087","13.5927","13.7953","66486462"
"20151102T","13.928","14.3867","13.8147","14.2527","58867681"
"20151103T","14.2567","14.296","13.85","13.89","120976305"
"20151104T","15.1333","15.516","15.0133","15.442","190702855"
"20151105T","15.372","15.639","15.2793","15.4513","67424126"
"20151106T","15.38","15.5573","15.3","15.4907","36663942"
"20151109T","15.5327","15.5327","14.954","15.022","57692656"
"20151110T","14.8987","14.9133","14.4053","14.4333","69186085"
"20151111T","14.518","14.632","14.242","14.6053","50062490"
"20151112T","14.5233","14.6","14.1773","14.196","43702643"
"20151113T","14.1967","14.1993","13.768","13.8127","51347059"
"20151116T","13.7393","14.332","13.72","14.2873","43805408"
"20151117T","14.3467","14.4","14.0933","14.2667","32224874"
"20151118T","14.3","14.7587","14.168","14.738","42152979"
"20151119T","14.7027","15.0793","14.6867","14.7867","37493876"
"20151120T","14.8993","15.0","14.2387","14.6673","65912952"
"20151123T","14.49","14.612","14.312","14.5167","37877921"
"20151124T","14.358","14.7333","14.3333","14.55","37175816"
"20151125T","14.756","15.3883","14.6917","15.3093","59804145"
"20151127T","15.404","15.4833","15.134","15.4407","29240280"
"20151130T","15.4527","15.6187","15.272","15.3507","38868056"
"20151201T","15.404","15.8667","15.4033","15.8127","55928402"
"20151202T","15.8","15.9067","15.4153","15.466","44709638"
"20151203T","15.6987","15.83","15.3333","15.514","44058473"
"20151204T","15.4973","15.5513","15.1773","15.3587","38580191"
"20151207T","15.18","15.7087","15.0767","15.4087","47112936"
"20151208T","15.168","15.2533","14.9467","15.1147","40233865"
"20151209T","15.1133","15.1667","14.7147","14.968","45855517"
"20151210T","14.9807","15.2327","14.9093","15.138","31051304"
"20151211T","15.016","15.05","14.4427","14.468","48886686"
"20151214T","14.5007","14.728","14.3247","14.572","42416934"
"20151215T","14.788","14.8147","14.5333","14.7393","33625273"
"20151216T","14.8067","15.6587","14.7153","15.634","76506607"
"20151217T","15.596","15.8507","15.321","15.5593","49416875"
"20151218T","15.526","15.7267","15.286","15.364","45120832"
"20151221T","15.446","15.722","15.4053","15.504","29273700"
"20151222T","15.666","15.77","15.3087","15.33","29382525"
"20151223T","15.4787","15.5633","15.2087","15.3133","23265453"
"20151224T","15.3707","15.4587","15.2187","15.3713","10654150"
"20151228T","15.4327","15.4653","15.036","15.2633","28502551"
"20151229T","15.3373","15.848","15.3031","15.8127","36036552"
"20151230T","15.7733","16.2423","15.7114","15.8727","55416692"
"20151231T","15.9007","16.23","15.8913","16.0007","40707235"
"20160104T","15.3813","15.4253","14.6","14.894","102352599"
"20160105T","15.0907","15.126","14.6667","14.8953","47782851"
"20160106T","14.6667","14.67","14.3987","14.6027","56615267"
"20160107T","14.2793","14.5627","14.2447","14.3767","53260533"
"20160108T","14.524","14.696","14.0513","14.0667","53585373"
"20160111T","14.2673","14.2967","13.5333","13.8567","61362614"
"20160112T","14.1067","14.2493","13.6873","13.998","46185742"
"20160113T","14.134","14.1767","13.3333","13.354","61814864"
"20160114T","13.4807","14.0","12.892","13.7453","97358636"
"20160115T","13.2647","13.6713","13.15","13.666","79886555"
"20160119T","13.914","14.0313","13.3853","13.648","60469035"
"20160120T","13.2933","13.4187","12.75","13.2467","87391606"
"20160121T","13.4367","13.5487","13.0013","13.3313","47466336"
"20160122T","13.6534","13.7","13.2687","13.5033","46830967"
"20160125T","13.3373","13.5713","13.0587","13.092","40431100"
"20160126T","13.1133","13.188","12.592","12.904","74353733"
"20160127T","12.8253","12.884","12.3847","12.538","53660268"
"20160128T","12.7193","12.752","12.1607","12.6467","68794886"
"20160129T","12.6633","12.916","12.5387","12.7467","42733914"
"20160201T","12.584","13.3013","12.1833","13.1293","79435235"
"20160202T","12.828","12.8747","12.0153","12.1853","86472212"
"20160203T","12.2393","12.2627","11.3453","11.5653","118914541"
"20160204T","11.38","11.732","11.1327","11.6887","65691597"
"20160205T","11.42","11.5333","10.5163","10.84","141517354"
"20160208T","10.4737","10.4767","9.7333","9.866","139601240"
"20160209T","9.488","10.6527","9.4033","9.8833","129594850"
"20160210T","10.0333","10.3313","9.4493","9.578","151570274"
"20160211T","10.1333","10.884","9.8","10.0313","213553393"
"20160212T","10.3333","10.4673","9.58","10.0693","108498906"
"20160216T","10.58","10.8633","10.274","10.3447","83424528"
"20160217T","10.6","11.2893","10.4453","11.2453","87303916"
"20160218T","11.4947","11.53","10.9847","11.118","58246576"
"20160219T","10.9107","11.166","10.8333","11.1053","44337458"
