"Date","Open","High","Low","Close","Volume"
"2010-11-09","1.6667","1.7127","1.6033","1.6420","14343728"
"2010-11-10","1.6320","1.9980","1.6033","1.9573","45903757"
"2010-11-11","1.9067","1.9400","1.8220","1.8690","29171895"
"2010-11-12","1.8833","2.0333","1.8713","1.9893","40922380"
"2010-11-15","2.0147","2.1960","2.0147","2.0533","39343450"
"2010-11-16","2.0667","2.0933","1.8947","1.9780","20212955"
"2010-11-17","2.0133","2.0500","1.9073","1.9660","11249109"
"2010-11-18","2.0447","2.0493","1.9280","1.9927","14340713"
"2010-11-19","2.0107","2.0913","1.9800","2.0660","17253891"
"2010-11-22","2.1047","2.2300","2.1000","2.2267","22942819"
"2010-11-23","2.2193","2.3787","2.1460","2.3047","23666538"
"2010-11-24","2.3513","2.3980","2.2889","2.3647","21374374"
"2010-11-26","2.3733","2.4000","2.3167","2.3547","5258307"
"2010-11-29","2.3608","2.3967","2.2220","2.2887","17183136"
"2010-11-30","2.2493","2.3553","2.2273","2.3553","33338353"
"2010-12-01","2.3913","2.4280","2.2300","2.2900","19478855"
"2010-12-02","2.2673","2.2865","2.0800","2.1567","30102390"
"2010-12-03","2.1340","2.1500","2.0580","2.0993","17400891"
"2010-12-06","2.0900","2.0967","1.9707","2.0207","19108115"
"2010-12-07","2.0327","2.1600","2.0033","2.1040","19657370"
"2010-12-08","2.1653","2.1660","2.1013","2.1580","9899695"
"2010-12-09","2.1673","2.1813","2.1100","2.1367","6089742"
"2010-12-10","2.1367","2.1947","2.0753","2.1013","6440712"
"2010-12-13","2.1093","2.1180","2.0267","2.0367","6154962"
"2010-12-14","2.0193","2.0260","1.8507","1.9020","26480762"
"2010-12-15","1.9113","1.9980","1.9020","1.9733","11143494"
"2010-12-16","2.0000","2.0607","1.9767","2.0540","11849544"
"2010-12-17","2.0893","2.1027","2.0473","2.0907","12179139"
"2010-12-20","2.1093","2.1460","2.0840","2.1133","7849796"
"2010-12-21","2.1200","2.1793","2.1140","2.1507","11665164"
"2010-12-22","2.1500","2.1907","2.1133","2.1753","12498834"
"2010-12-23","2.0840","2.1653","1.9947","2.0060","23286363"
"2010-12-27","1.8680","1.9053","1.6707","1.7033","139519865"
"2010-12-28","1.7233","1.7833","1.6667","1.7607","60835545"
